collection_time_utc,entity_id,trip_id,route_id,direction_id,start_time,start_date,timestamp,delay_seconds,is_deleted,delay_minutes,collection_date,source_file,collection_day_status,collection_coverage_hours,is_partial_day,is_model_baseline_day,agency_id,route_short_name,route_long_name,route_type,service_type,route_display_name,is_special_route,trip_hour,weekday,day_of_month,delay_abs_minutes,delay_risk,weather_hour,temperature_2m,precipitation,rain,relative_humidity_2m,wind_speed_10m,recommended_action
2026-05-06 09:34:55+00:00,248-840042-79020-2-6165420-056d29d1,248-840042-79020-2-6165420-056d29d1,ONE-201,1,21:57:00,20260506,1778052007,0,False,0.0,2026-05-06,gtfs_realtime_2026-05-06.csv,partial_or_interrupted,0.5,True,False,AM,ONE,ONE,2,Train / Rail,ONE,False,9,2,6,0.0,Low,2026-05-06 09:00:00+00:00,17.4,0.0,0.0,86.0,13.1,No operational action required
2026-05-06 09:34:55+00:00,248-840085-73380-2-6158420-e6e7fc81,248-840085-73380-2-6158420-e6e7fc81,ONE-201,0,20:23:00,20260506,1778056816,3,False,0.05,2026-05-06,gtfs_realtime_2026-05-06.csv,partial_or_interrupted,0.5,True,False,AM,ONE,ONE,2,Train / Rail,ONE,False,9,2,6,0.05,Low,2026-05-06 09:00:00+00:00,17.4,0.0,0.0,86.0,13.1,No operational action required
2026-05-06 09:34:55+00:00,248-840085-80580-2-6166420-80e0a9f0,248-840085-80580-2-6166420-80e0a9f0,ONE-201,0,22:23:00,20260506,1778052007,0,False,0.0,2026-05-06,gtfs_realtime_2026-05-06.csv,partial_or_interrupted,0.5,True,False,AM,ONE,ONE,2,Train / Rail,ONE,False,9,2,6,0.0,Low,2026-05-06 09:00:00+00:00,17.4,0.0,0.0,86.0,13.1,No operational action required
2026-05-06 09:34:55+00:00,248-840085-76980-2-6162420-5cb282f2,248-840085-76980-2-6162420-5cb282f2,ONE-201,0,21:23:00,20260506,1778060074,-13,False,-0.216666667,2026-05-06,gtfs_realtime_2026-05-06.csv,partial_or_interrupted,0.5,True,False,AM,ONE,ONE,2,Train / Rail,ONE,False,9,2,6,0.216666667,Low,2026-05-06 09:00:00+00:00,17.4,0.0,0.0,86.0,13.1,No operational action required
2026-05-06 09:34:55+00:00,249-820024-70200-2-3167331-b8b26691,249-820024-70200-2-3167331-b8b26691,STH-201,1,19:30:00,20260506,1778056995,-68,False,-1.133333333,2026-05-06,gtfs_realtime_2026-05-06.csv,partial_or_interrupted,0.5,True,False,AM,STH,STH,2,Train / Rail,STH,True,9,2,6,1.133333333,Low,2026-05-06 09:00:00+00:00,17.4,0.0,0.0,86.0,13.1,No operational action required
2026-05-06 09:34:55+00:00,246-850001-77460-2-5272153-a90eaa0a,246-850001-77460-2-5272153-a90eaa0a,EAST-201,0,21:31:00,20260506,1778059868,-23,False,-0.383333333,2026-05-06,gtfs_realtime_2026-05-06.csv,partial_or_interrupted,0.5,True,False,AM,EAST,EAST,2,Train / Rail,EAST,False,9,2,6,0.383333333,Low,2026-05-06 09:00:00+00:00,17.4,0.0,0.0,86.0,13.1,No operational action required
2026-05-06 09:34:55+00:00,246-850001-72060-2-5266153-09ec61ee,246-850001-72060-2-5266153-09ec61ee,EAST-201,0,20:01:00,20260506,1778057242,-47,False,-0.783333333,2026-05-06,gtfs_realtime_2026-05-06.csv,partial_or_interrupted,0.5,True,False,AM,EAST,EAST,2,Train / Rail,EAST,False,9,2,6,0.783333333,Low,2026-05-06 09:00:00+00:00,17.4,0.0,0.0,86.0,13.1,No operational action required
2026-05-06 09:34:55+00:00,246-850002-80220-2-5277153-6a532ae4,246-850002-80220-2-5277153-6a532ae4,EAST-201,1,22:17:00,20260506,1778002702,0,False,0.0,2026-05-06,gtfs_realtime_2026-05-06.csv,partial_or_interrupted,0.5,True,False,AM,EAST,EAST,2,Train / Rail,EAST,False,9,2,6,0.0,Low,2026-05-06 09:00:00+00:00,17.4,0.0,0.0,86.0,13.1,No operational action required
2026-05-06 09:34:55+00:00,246-850002-74820-2-5271153-337a2626,246-850002-74820-2-5271153-337a2626,EAST-201,1,20:47:00,20260506,1778059488,-38,False,-0.633333333,2026-05-06,gtfs_realtime_2026-05-06.csv,partial_or_interrupted,0.5,True,False,AM,EAST,EAST,2,Train / Rail,EAST,False,9,2,6,0.633333333,Low,2026-05-06 09:00:00+00:00,17.4,0.0,0.0,86.0,13.1,No operational action required
2026-05-06 09:34:55+00:00,246-850002-78420-2-5275112-31f42592,246-850002-78420-2-5275112-31f42592,EAST-201,1,21:47:00,20260506,1778002673,0,False,0.0,2026-05-06,gtfs_realtime_2026-05-06.csv,partial_or_interrupted,0.5,True,False,AM,EAST,EAST,2,Train / Rail,EAST,False,9,2,6,0.0,Low,2026-05-06 09:00:00+00:00,17.4,0.0,0.0,86.0,13.1,No operational action required
2026-05-06 09:34:55+00:00,246-850002-71820-2-5267112-fcc18d7a,246-850002-71820-2-5267112-fcc18d7a,EAST-201,1,19:57:00,20260506,1778056479,-23,False,-0.383333333,2026-05-06,gtfs_realtime_2026-05-06.csv,partial_or_interrupted,0.5,True,False,AM,EAST,EAST,2,Train / Rail,EAST,False,9,2,6,0.383333333,Low,2026-05-06 09:00:00+00:00,17.4,0.0,0.0,86.0,13.1,No operational action required
