scenario_name,description,selected_route,service_type,route_display_name,route_corridor_name,avg_delay_min,traffic_congestion_index,recommended_action
Baseline Operations,"OSM-based Helensville visual scenario for Route 128 bus context under normal traffic pressure; 78 completed trips in finalized command-line SUMO run. Baseline is a comparison condition, while final dataset evidence covers 2026-05-09 to 2026-06-04.",128-202,Bus,128,128 - Hibiscus Coast Station / Helensville,0.08,35.0,No operational action required
Disruption Scenario,"OSM-based Helensville visual scenario for Route 128 bus context with intentionally heavier traffic pressure informed by final model-baseline evidence for 2026-05-09 to 2026-06-04: 5958 records, 42 unique trips, avg delay 8.55 min, max delay 40.57 min, and 1429 severe records; 238 completed trips in finalized command-line SUMO run.",128-202,Bus,128,128 - Hibiscus Coast Station / Helensville,0.17,66.11,Deploy standby bus or supervisor review
Intervention Scenario,"OSM-based Helensville visual scenario for Route 128 bus context with reduced road pressure, adjusted service headway, and supervisor-managed response based on the Decision Engine recommendation; 123 completed trips in finalized command-line SUMO run.",128-202,Bus,128,128 - Hibiscus Coast Station / Helensville,0.09,41.31,Adjust service headway / deploy standby bus or supervisor review
