route_id,route_short_name,route_long_name,route_corridor_name,service_type,route_display_name,is_special_route,delay_risk,recommended_action,records,share_pct
126-203,126,126,126 - Albany / Westgate Via Riverhead,Bus,126,False,Medium,Monitor route conditions,2433,0.0729
126-203,126,126,126 - Albany / Westgate Via Riverhead,Bus,126,False,High,Adjust service headway,116,0.0035
126-203,126,126,126 - Albany / Westgate Via Riverhead,Bus,126,False,Severe,Deploy standby bus or supervisor review,64,0.0019
128-202,128,128,128 - Hibiscus Coast Station / Helensville,Bus,128,False,Low,No operational action required,3296,0.0987
128-202,128,128,128 - Hibiscus Coast Station / Helensville,Bus,128,False,Medium,Monitor route conditions,994,0.0298
128-202,128,128,128 - Hibiscus Coast Station / Helensville,Bus,128,False,High,Adjust service headway,239,0.0072
128-202,128,128,128 - Hibiscus Coast Station / Helensville,Bus,128,False,Severe,Deploy standby bus or supervisor review,1429,0.0428
13-203,13,13,13 - Te Atatu Peninsula Loop / Henderson,Bus,13,False,Low,No operational action required,18079,0.5415
13-203,13,13,13 - Te Atatu Peninsula Loop / Henderson,Bus,13,False,Medium,Monitor route conditions,10436,0.3126
13-203,13,13,13 - Te Atatu Peninsula Loop / Henderson,Bus,13,False,High,Adjust service headway,545,0.0163
13-203,13,13,13 - Te Atatu Peninsula Loop / Henderson,Bus,13,False,Severe,Deploy standby bus or supervisor review,94,0.0028
135-203,135,135,135 - Te Atatu (Totara Rd) / Henderson,Bus,135,False,Low,No operational action required,12158,0.3642
135-203,135,135,135 - Te Atatu (Totara Rd) / Henderson,Bus,135,False,Medium,Monitor route conditions,4766,0.1428
135-203,135,135,135 - Te Atatu (Totara Rd) / Henderson,Bus,135,False,High,Adjust service headway,295,0.0088
135-203,135,135,135 - Te Atatu (Totara Rd) / Henderson,Bus,135,False,Severe,Deploy standby bus or supervisor review,95,0.0028
14-202,14,14,14 - New Lynn / Lincoln Rd via Henderson,Bus,14,False,Low,No operational action required,16843,0.5045
14-202,14,14,14 - New Lynn / Lincoln Rd via Henderson,Bus,14,False,Medium,Monitor route conditions,11131,0.3334
14-202,14,14,14 - New Lynn / Lincoln Rd via Henderson,Bus,14,False,High,Adjust service headway,302,0.009
14-202,14,14,14 - New Lynn / Lincoln Rd via Henderson,Bus,14,False,Severe,Deploy standby bus or supervisor review,64,0.0019
143-203,143,143,143 - Ranui / Henderson via Sturges Rd,Bus,143,False,Low,No operational action required,9377,0.2809
143-203,143,143,143 - Ranui / Henderson via Sturges Rd,Bus,143,False,Medium,Monitor route conditions,617,0.0185
143-203,143,143,143 - Ranui / Henderson via Sturges Rd,Bus,143,False,High,Adjust service headway,31,0.0009
143-203,143,143,143 - Ranui / Henderson via Sturges Rd,Bus,143,False,Severe,Deploy standby bus or supervisor review,10,0.0003
145-203,145,145,145 - Lincoln Rd / Henderson Via Western H,Bus,145,False,Low,No operational action required,10909,0.3268
145-203,145,145,145 - Lincoln Rd / Henderson Via Western H,Bus,145,False,Medium,Monitor route conditions,3513,0.1052
145-203,145,145,145 - Lincoln Rd / Henderson Via Western H,Bus,145,False,High,Adjust service headway,303,0.0091
145-203,145,145,145 - Lincoln Rd / Henderson Via Western H,Bus,145,False,Severe,Deploy standby bus or supervisor review,77,0.0023
147-203,147,147,147 - Waitakere Township / Henderson,Bus,147,False,Low,No operational action required,11804,0.3536
