route_id,route_short_name,route_display_name,route_corridor_name,service_type,is_special_route,ai_delay_risk,ai_recommended_action,ai_confidence_band,records,share_pct
143-203,143,143,143 - Ranui / Henderson via Sturges Rd,Bus,False,Medium,Monitor route conditions,Moderate action probability,34,0.001
145-203,145,145,145 - Lincoln Rd / Henderson Via Western H,Bus,False,Low,No operational action required,Low action probability,5915,0.1772
145-203,145,145,145 - Lincoln Rd / Henderson Via Western H,Bus,False,Medium,Monitor route conditions,Moderate action probability,8887,0.2662
147-203,147,147,147 - Waitakere Township / Henderson,Bus,False,Low,No operational action required,Low action probability,11195,0.3353
147-203,147,147,147 - Waitakere Township / Henderson,Bus,False,Medium,Monitor route conditions,Moderate action probability,2691,0.0806
148-203,148,148,148 - Ranui / Lincoln Rd,Bus,False,Low,No operational action required,Low action probability,2373,0.0711
148-203,148,148,148 - Ranui / Lincoln Rd,Bus,False,Medium,Monitor route conditions,Moderate action probability,1954,0.0585
149-203,149,149,149 - Ranui / New Lynn Via Rosebank,Bus,False,Low,No operational action required,Low action probability,2461,0.0737
149-203,149,149,149 - Ranui / New Lynn Via Rosebank,Bus,False,Medium,Monitor route conditions,Moderate action probability,8212,0.246
152-203,152,152,152 - Henderson / New Lynn via Sunnyvale and Glen Eden,Bus,False,Low,No operational action required,Low action probability,8813,0.264
152-203,152,152,152 - Henderson / New Lynn via Sunnyvale and Glen Eden,Bus,False,Medium,Monitor route conditions,Moderate action probability,2241,0.0671
154-203,154,154,154 - New Lynn / Henderson via Glen Eden,Bus,False,Low,No operational action required,Low action probability,5384,0.1613
154-203,154,154,154 - New Lynn / Henderson via Glen Eden,Bus,False,Medium,Monitor route conditions,Moderate action probability,9093,0.2724
