service_type,route_display_name,route_corridor_name,route_id,is_special_route,delay_risk,recommended_action,records,unique_trips,avg_delay_minutes,max_delay_minutes
Unknown / unmatched route,S018A-203,S018A-203,S018A-203,true,Low,No operational action required,6,1,-0.986,0.317
Bus,106,106 - Freemans Bay Loop,106-202,false,High,Adjust service headway,5,3,-16.533,-15.583
Bus,998,998 - Wellsford / Warkworth,998-203,false,Severe,Deploy standby bus or supervisor review,5,2,27.28,28.783
Ferry,MTID,MTID - Downtown Pier 13 / Waiheke Pier 3,MTID-241,false,Medium,Monitor route conditions,5,1,5.133,5.133
Unknown / unmatched route,S047B-221,S047B-221,S047B-221,true,Severe,Deploy standby bus or supervisor review,5,1,31.88,35.2
Bus,252,252 - Lynfield / Civic Centre Via Dominion Rd,252-202,false,Severe,Deploy standby bus or supervisor review,5,1,73.95,73.95
Bus,CTY,CTY - Wynyard Quarter / Karangahape Rd via Queen St,CTY-202,false,Severe,Deploy standby bus or supervisor review,5,4,10.417,54.783
Bus,751,751 - Panmure / Newmarket Via Marua Rd And Remuera Rd,751-202,false,Severe,Deploy standby bus or supervisor review,5,1,40.65,40.65
Unknown / unmatched route,S007A-203,S007A-203,S007A-203,true,High,Adjust service headway,5,1,18.04,19.583
Unknown / unmatched route,S438-218,S438-218,S438-218,true,Medium,Monitor route conditions,4,1,5.8,6.067
Unknown / unmatched route,S064-203,S064-203,S064-203,true,Severe,Deploy standby bus or supervisor review,4,1,29.733,30.367
Bus,162,162 - Henderson / New Lynn via Glendene,162-202,false,High,Adjust service headway,4,2,17.771,24.133
Unknown / unmatched route,S073B-203,S073B-203,S073B-203,true,High,Adjust service headway,4,1,-16.792,-16.117
Bus,988,988 - The Plaza / Gulf Harbour Ferry Via Army Bay,988-221,false,High,Adjust service headway,4,1,15.763,16.4
Unknown / unmatched route,S026D-218,S026D-218,S026D-218,true,Severe,Deploy standby bus or supervisor review,4,1,27.446,28.583
Unknown / unmatched route,S403-203,S403-203,S403-203,true,Severe,Deploy standby bus or supervisor review,3,1,-40.05,-40.05
Bus,901,901 - Smales Farm / Constellation Station Via Wairau Rd,901-203,false,Severe,Deploy standby bus or supervisor review,3,1,-58.683,-58.683
Bus,106,106 - Freemans Bay Loop,106-202,false,Severe,Deploy standby bus or supervisor review,3,1,-25.867,-25.867
Unknown / unmatched route,S046G-221,S046G-221,S046G-221,true,High,Adjust service headway,3,2,15.317,15.783
Bus,845,845 - Milford / Takapuna Via North Shore Hospital,845-203,false,High,Adjust service headway,3,2,15.311,15.45
Unknown / unmatched route,S069-203,S069-203,S069-203,true,High,Adjust service headway,3,1,19.294,21.4
Bus,997,997 - Warkworth / Omaha Via Matakana And Pt Wells,997-203,false,High,Adjust service headway,3,2,19.278,20.683
Unknown / unmatched route,S462-203,S462-203,S462-203,true,High,Adjust service headway,3,2,19.778,20.767
Unknown / unmatched route,S081A-202,S081A-202,S081A-202,true,High,Adjust service headway,3,1,18.117,18.117
Unknown / unmatched route,S027H-203,S027H-203,S027H-203,true,High,Adjust service headway,2,1,15.375,15.6
Unknown / unmatched route,S045B-221,S045B-221,S045B-221,true,Severe,Deploy standby bus or supervisor review,2,1,-26.142,-25.217
Unknown / unmatched route,S012-218,S012-218,S012-218,true,High,Adjust service headway,2,1,23.558,23.617
Unknown / unmatched route,S007A-203,S007A-203,S007A-203,true,Severe,Deploy standby bus or supervisor review,2,1,27.133,27.133
Unknown / unmatched route,S440-205,S440-205,S440-205,true,High,Adjust service headway,2,1,16.525,18.033
Unknown / unmatched route,S049-203,S049-203,S049-203,true,High,Adjust service headway,2,1,15.742,16.117
Unknown / unmatched route,S044A-221,S044A-221,S044A-221,true,Severe,Deploy standby bus or supervisor review,2,1,44.983,44.983
Unknown / unmatched route,S429-221,S429-221,S429-221,true,High,Adjust service headway,2,1,21.825,22.55
Unknown / unmatched route,S516-202,S516-202,S516-202,true,High,Adjust service headway,2,1,20.508,21.4
Unknown / unmatched route,S433-221,S433-221,S433-221,true,High,Adjust service headway,1,1,16.583,16.583
Unknown / unmatched route,S081-202,S081-202,S081-202,true,Severe,Deploy standby bus or supervisor review,1,1,27.7,27.7
Unknown / unmatched route,S545-202,S545-202,S545-202,true,High,Adjust service headway,1,1,18.133,18.133
Unknown / unmatched route,S025E-218,S025E-218,S025E-218,true,High,Adjust service headway,1,1,19.733,19.733
Bus,396,396 - Waiuku / Pukekohe Interchange Via Kitchener Rd And Patumaho,396-203,false,Severe,Deploy standby bus or supervisor review,1,1,31.6,31.6
Unknown / unmatched route,S441-205,S441-205,S441-205,true,Medium,Monitor route conditions,1,1,5.467,5.467
